timestamp_pc;Acel_x;Acel_y;Acel_z;Gyro_x;Gyro_y;Gyro_z;Magne_x;Magne_y;Magne_z
13:33:50.960;0.03;-0.03;0.97;1.04;1.22;2.56;3.12;34.51;-9.92
13:33:50.965;0.03;-0.03;0.97;1.04;1.28;2.62;3.47;34.25;-9.50
13:33:50.970;0.03;-0.03;0.97;0.92;1.22;2.62;4.04;34.52;-9.40
13:33:50.975;0.03;-0.03;0.97;1.10;1.10;2.50;3.56;34.39;-8.80
13:33:50.979;0.03;-0.03;0.97;1.10;1.22;2.62;3.89;34.51;-9.83
13:33:50.984;0.03;-0.03;0.97;1.16;1.22;2.56;3.65;34.40;-9.70
13:33:50.989;0.03;-0.03;0.97;1.16;1.28;2.69;3.61;34.11;-9.31
13:33:50.994;0.03;-0.03;0.97;1.04;1.28;2.62;3.64;34.47;-9.69
13:33:50.999;0.03;-0.03;0.97;0.92;1.16;2.56;3.61;34.22;-9.63
13:33:51.003;0.03;-0.03;0.97;0.98;1.22;2.69;3.31;34.75;-10.68
13:33:52.012;0.03;-0.03;0.97;0.98;1.16;2.50;3.36;33.90;-9.46
13:33:52.013;0.03;-0.03;0.97;0.85;1.16;2.56;2.98;34.28;-10.33
13:33:52.014;0.03;-0.03;0.97;0.92;1.10;2.50;2.98;33.79;-10.10
13:33:52.015;0.03;-0.03;0.97;0.98;1.22;2.62;3.26;34.35;-9.44
13:33:52.017;0.03;-0.03;0.97;0.92;1.22;2.50;3.30;34.45;-8.80
13:33:52.018;0.03;-0.03;0.97;1.22;1.22;2.38;3.26;34.50;-9.35
13:33:52.019;0.03;-0.03;0.97;1.10;1.16;2.50;3.58;34.57;-10.34
13:33:52.020;0.03;-0.03;0.97;0.85;1.10;2.56;3.63;34.19;-9.41
13:33:52.021;0.03;-0.03;0.97;1.04;1.28;2.50;3.39;34.40;-9.29
13:33:52.022;0.03;-0.03;0.97;0.98;1.22;2.69;3.48;34.13;-9.67
13:33:53.048;0.04;-0.03;0.97;1.16;1.16;2.69;3.50;34.11;-9.38
13:33:53.050;0.03;-0.03;0.97;0.98;1.28;2.69;3.56;34.33;-9.77
13:33:53.051;0.03;-0.03;0.97;1.04;1.22;2.62;3.52;34.23;-9.13
13:33:53.051;0.03;-0.03;0.97;0.79;1.22;2.62;3.42;34.78;-10.47
13:33:53.053;0.03;-0.03;0.97;1.22;1.34;2.56;3.71;33.79;-9.94
13:33:53.054;0.03;-0.03;0.97;1.16;1.28;2.56;4.05;34.02;-10.22
13:33:53.055;0.04;-0.03;0.97;0.98;1.22;2.56;3.75;34.30;-10.84
13:33:53.056;0.03;-0.03;0.97;0.85;1.28;2.44;4.06;33.79;-9.81
13:33:53.056;0.03;-0.03;0.97;1.04;1.34;2.69;3.31;34.41;-8.94
13:33:53.057;0.03;-0.03;0.97;0.98;1.10;2.56;3.91;34.75;-10.01
13:33:54.093;0.03;-0.03;0.97;0.79;1.22;2.62;3.54;34.05;-9.41
13:33:54.094;0.03;-0.03;0.97;1.04;1.34;2.62;2.71;33.98;-9.77
13:33:54.095;0.04;-0.03;0.97;1.10;1.16;2.50;3.36;33.90;-10.27
13:33:54.096;0.03;-0.03;0.97;1.04;1.22;2.44;3.36;34.24;-9.55
13:33:54.097;0.03;-0.03;0.97;0.98;1.22;2.56;3.28;33.67;-9.90
13:33:54.098;0.03;-0.03;0.97;0.79;1.34;2.56;3.06;34.05;-9.74
13:33:54.098;0.03;-0.03;0.97;1.04;1.28;2.56;3.36;34.34;-10.00
13:33:54.099;0.03;-0.03;0.97;1.16;1.28;2.50;3.45;34.18;-9.51
13:33:54.100;0.03;-0.03;0.97;0.92;1.34;2.56;3.96;34.91;-9.51
13:33:54.101;0.03;-0.03;0.97;1.04;1.28;2.62;3.56;34.01;-9.77
13:33:55.109;0.04;-0.03;0.97;1.22;1.28;2.62;4.13;34.00;-10.19
13:33:55.110;0.03;-0.03;0.97;0.98;1.40;2.69;3.66;34.38;-10.12
13:33:55.111;0.03;-0.03;0.97;0.98;1.34;2.50;4.28;34.23;-9.74
13:33:55.112;0.03;-0.03;0.97;0.92;1.28;2.56;3.66;34.27;-10.44
13:33:55.112;0.03;-0.03;0.97;1.04;1.16;2.50;3.54;34.24;-9.75
13:33:55.113;0.03;-0.03;0.97;0.98;1.28;2.56;3.65;34.22;-10.05
13:33:55.114;0.03;-0.03;0.97;0.98;1.04;2.62;3.76;34.41;-9.92
13:33:55.115;0.03;-0.03;0.97;0.92;1.04;2.56;3.61;34.09;-9.99
13:33:55.116;0.03;-0.03;0.97;0.92;1.28;2.62;3.92;34.16;-9.24
13:33:55.117;0.03;-0.03;0.97;1.22;1.28;2.50;3.97;34.36;-10.45
13:33:55.937;0.03;-0.03;0.97;0.92;1.34;2.62;3.54;34.36;-10.33
13:33:55.938;0.03;-0.03;0.97;0.98;1.22;2.50;2.94;34.29;-9.69
13:33:55.939;0.03;-0.03;0.97;0.92;1.22;2.56;3.33;33.78;-8.97
13:33:55.940;0.16;-0.14;0.97;-11.47;70.19;22.58;3.72;33.95;-9.91
13:33:55.941;-0.00;0.06;1.00;6.65;-5.92;-13.67;5.19;34.24;-9.83
13:33:55.944;0.09;0.03;0.92;14.95;2.20;-1.95;4.76;34.74;-10.89
13:33:55.949;0.08;-0.06;0.94;-4.21;1.34;-32.35;3.87;33.64;-9.70
13:33:55.954;0.16;-0.21;1.03;2.87;-2.14;-11.78;3.25;33.59;-10.50
