timestamp_pc;Acel_x;Acel_y;Acel_z;Gyro_x;Gyro_y;Gyro_z;Magne_x;Magne_y;Magne_z
12:43:33.344;0.06;-0.03;0.97;0.85;1.22;2.50;4.53;33.80;-8.95
12:43:33.348;0.06;-0.03;0.97;0.92;1.16;2.56;4.82;33.74;-10.77
12:43:33.353;0.06;-0.03;0.97;0.92;1.28;2.62;5.03;34.14;-10.13
12:43:33.358;0.06;-0.03;0.97;0.98;1.22;2.62;4.25;33.81;-9.61
12:43:33.363;0.06;-0.03;0.97;0.98;1.40;2.62;4.44;34.03;-9.30
12:43:33.368;0.06;-0.03;0.97;0.98;1.10;2.56;4.30;34.01;-9.58
12:43:33.372;0.06;-0.03;0.97;0.85;1.16;2.38;4.70;34.59;-9.75
12:43:33.377;0.06;-0.03;0.97;0.85;1.28;2.56;5.16;33.97;-9.64
12:43:33.382;0.06;-0.03;0.97;1.04;1.28;2.50;5.52;34.33;-10.19
12:43:33.386;0.06;-0.03;0.97;0.98;1.28;2.62;4.88;33.79;-10.33
12:43:34.337;0.05;-0.03;0.97;0.98;1.28;2.50;4.71;34.18;-10.12
12:43:34.341;0.06;-0.03;0.97;0.92;1.22;2.56;4.44;34.11;-9.80
12:43:34.346;0.05;-0.03;0.97;0.98;1.16;2.56;4.82;34.41;-10.41
12:43:34.351;0.06;-0.03;0.97;1.10;1.10;2.56;4.76;34.20;-9.80
12:43:34.356;0.06;-0.03;0.97;1.10;1.16;2.56;4.22;33.83;-9.91
12:43:34.361;0.06;-0.03;0.97;1.10;1.22;2.56;3.75;34.25;-9.85
12:43:34.366;0.06;-0.03;0.97;0.98;1.22;2.75;4.22;33.96;-9.85
12:43:34.370;0.06;-0.03;0.97;0.85;1.22;2.56;4.19;33.96;-10.40
12:43:34.375;0.06;-0.03;0.97;0.92;1.22;2.50;4.54;33.67;-9.66
12:43:34.380;0.05;-0.03;0.97;0.85;1.28;2.50;4.87;34.13;-10.01
12:43:35.329;0.06;-0.03;0.97;1.22;1.28;2.62;5.03;34.51;-9.79
12:43:35.334;0.06;-0.03;0.97;1.10;1.16;2.56;4.13;34.11;-11.01
12:43:35.339;0.05;-0.03;0.97;0.85;1.22;2.69;4.04;33.89;-10.07
12:43:35.343;0.05;-0.03;0.97;0.85;1.16;2.56;4.66;34.13;-9.47
12:43:35.348;0.06;-0.03;0.97;0.98;1.22;2.69;4.64;34.31;-9.16
12:43:35.353;0.06;-0.03;0.97;1.16;1.10;2.56;4.72;35.08;-9.94
12:43:35.358;0.06;-0.03;0.97;0.92;1.22;2.56;4.68;34.19;-10.12
12:43:35.363;0.06;-0.03;0.97;1.10;1.28;2.44;5.43;34.27;-10.40
12:43:35.368;0.06;-0.03;0.97;1.10;1.22;2.50;4.32;34.07;-10.13
12:43:35.372;0.06;-0.03;0.97;0.67;1.34;2.75;4.97;33.86;-9.28
12:43:36.322;0.06;-0.03;0.97;1.10;1.28;2.50;4.39;33.95;-10.22
12:43:36.327;0.06;-0.03;0.97;0.92;1.22;2.62;4.44;33.92;-9.95
12:43:36.331;0.06;-0.03;0.97;0.98;1.28;2.44;4.37;33.86;-9.68
12:43:36.336;0.06;-0.03;0.97;0.92;1.22;2.69;3.93;33.91;-8.12
12:43:36.341;0.06;-0.03;0.97;1.10;1.22;2.50;4.57;34.28;-9.73
12:43:36.346;0.06;-0.03;0.97;0.98;1.28;2.44;4.35;33.63;-10.24
12:43:36.351;0.06;-0.03;0.97;0.85;1.28;2.50;4.82;34.47;-10.19
